memberNumber,fullName,phone,accountType,transactionType,amount,transactionDate,meetingNumber,interestPeriod,description
M001,Ramesh Kumar,9876543210,DEPOSIT,INITIAL_BALANCE,5000.00,2025-04-10,1,2025-04,Initial Deposit Opening Balance
M002,Sunitha Devi,9876543211,DEPOSIT,INITIAL_BALANCE,3000.00,2025-04-10,1,2025-04,Initial Deposit Opening Balance
M003,Rajesh Nair,9876543212,DEPOSIT,INITIAL_BALANCE,4500.00,2025-04-10,1,2025-04,Initial Deposit Opening Balance
M004,Lakshmi Priya,9876543213,DEPOSIT,INITIAL_BALANCE,2500.00,2025-04-10,1,2025-04,Initial Deposit Opening Balance
M005,Suresh Babu,9876543214,DEPOSIT,INITIAL_BALANCE,6000.00,2025-04-10,1,2025-04,Initial Deposit Opening Balance
,Group,9876543210,SURPLUS_FUND,SURPLUS_ADDITION,10000.00,2025-04-10,1,2025-04,Initial Group Surplus Reserve (Michathuka)
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-05-10,2,2025-05,May Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-05-10,2,2025-05,May Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-05-10,2,2025-05,May Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-05-10,2,2025-05,May Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-05-10,2,2025-05,May Monthly Contribution
M001,Ramesh Kumar,9876543210,LOAN,LOAN_ISSUED,15000.00,2025-05-10,2,2025-05,Personal Loan Issued to Ramesh
M003,Rajesh Nair,9876543212,LOAN,LOAN_ISSUED,10000.00,2025-05-10,2,2025-05,Personal Loan Issued to Rajesh
,Group,9876543210,GROUP_EXPENSE,EXPENSE,180.00,2025-05-10,2,2025-05,Hall Rent & Electricity Charge
,Group,9876543210,GROUP_PROFIT,PROFIT,500.00,2025-05-10,2,2025-05,Bank Savings Account Interest
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-06-10,3,2025-06,June Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-06-10,3,2025-06,June Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-06-10,3,2025-06,June Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-06-10,3,2025-06,June Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-06-10,3,2025-06,June Monthly Contribution
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2025-06-10,3,2025-06,Loan Installment 1
M003,Rajesh Nair,9876543212,LOAN,REPAYMENT,1000.00,2025-06-10,3,2025-06,Loan Installment 1
M002,Sunitha Devi,9876543211,DEPOSIT,ADDITION,1000.00,2025-06-10,3,2025-06,Additional Voluntary Deposit
,Group,9876543210,GROUP_EXPENSE,EXPENSE,220.00,2025-06-10,3,2025-06,Stationery & Passbook Printing
,Group,9876543210,GROUP_PROFIT,PROFIT,800.00,2025-06-10,3,2025-06,Group Canteen Stall Surplus
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-07-10,4,2025-07,July Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-07-10,4,2025-07,July Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-07-10,4,2025-07,July Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-07-10,4,2025-07,July Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-07-10,4,2025-07,July Monthly Contribution
